"","folio","agem","entidad","municipio","nom_mun","lat_decimal","lon_decimal","altitud"
"1",1,"01001","01","001","Aguascalientes",21.8302849933244,-102.282000758344,1915.7129506008
"2",2,"01001","01","001","Aguascalientes",21.8302849933244,-102.282000758344,1915.7129506008
"3",3,"01001","01","001","Aguascalientes",21.8302849933244,-102.282000758344,1915.7129506008
"4",4,"01001","01","001","Aguascalientes",21.8302849933244,-102.282000758344,1915.7129506008
"5",5,"01001","01","001","Aguascalientes",21.8302849933244,-102.282000758344,1915.7129506008
"6",6,"01001","01","001","Aguascalientes",21.8302849933244,-102.282000758344,1915.7129506008
"7",7,"01001","01","001","Aguascalientes",21.8302849933244,-102.282000758344,1915.7129506008
"8",8,"01001","01","001","Aguascalientes",21.8302849933244,-102.282000758344,1915.7129506008
"9",9,"01001","01","001","Aguascalientes",21.8302849933244,-102.282000758344,1915.7129506008
"10",10,"01001","01","001","Aguascalientes",21.8302849933244,-102.282000758344,1915.7129506008
"11",11,"01001","01","001","Aguascalientes",21.8302849933244,-102.282000758344,1915.7129506008
"12",12,"01001","01","001","Aguascalientes",21.8302849933244,-102.282000758344,1915.7129506008
"13",13,"01001","01","001","Aguascalientes",21.8302849933244,-102.282000758344,1915.7129506008
"14",14,"01001","01","001","Aguascalientes",21.8302849933244,-102.282000758344,1915.7129506008
"15",15,"01001","01","001","Aguascalientes",21.8302849933244,-102.282000758344,1915.7129506008
"16",16,"01001","01","001","Aguascalientes",21.8302849933244,-102.282000758344,1915.7129506008
"17",17,"01001","01","001","Aguascalientes",21.8302849933244,-102.282000758344,1915.7129506008
"18",18,"01001","01","001","Aguascalientes",21.8302849933244,-102.282000758344,1915.7129506008
"19",19,"01001","01","001","Aguascalientes",21.8302849933244,-102.282000758344,1915.7129506008
"20",20,"01001","01","001","Aguascalientes",21.8302849933244,-102.282000758344,1915.7129506008
"21",21,"01001","01","001","Aguascalientes",21.8302849933244,-102.282000758344,1915.7129506008
"22",22,"01001","01","001","Aguascalientes",21.8302849933244,-102.282000758344,1915.7129506008
"23",23,"01001","01","001","Aguascalientes",21.8302849933244,-102.282000758344,1915.7129506008
"24",24,"01001","01","001","Aguascalientes",21.8302849933244,-102.282000758344,1915.7129506008
"25",25,"01001","01","001","Aguascalientes",21.8302849933244,-102.282000758344,1915.7129506008
"26",26,"01001","01","001","Aguascalientes",21.8302849933244,-102.282000758344,1915.7129506008
"27",27,"01001","01","001","Aguascalientes",21.8302849933244,-102.282000758344,1915.7129506008
"28",28,"01001","01","001","Aguascalientes",21.8302849933244,-102.282000758344,1915.7129506008
"29",29,"01001","01","001","Aguascalientes",21.8302849933244,-102.282000758344,1915.7129506008
"30",30,"01001","01","001","Aguascalientes",21.8302849933244,-102.282000758344,1915.7129506008
"31",31,"01001","01","001","Aguascalientes",21.8302849933244,-102.282000758344,1915.7129506008
"32",32,"01001","01","001","Aguascalientes",21.8302849933244,-102.282000758344,1915.7129506008
"33",33,"01001","01","001","Aguascalientes",21.8302849933244,-102.282000758344,1915.7129506008
"34",34,"01001","01","001","Aguascalientes",21.8302849933244,-102.282000758344,1915.7129506008
"35",35,"01001","01","001","Aguascalientes",21.8302849933244,-102.282000758344,1915.7129506008
"36",36,"01001","01","001","Aguascalientes",21.8302849933244,-102.282000758344,1915.7129506008
"37",37,"01001","01","001","Aguascalientes",21.8302849933244,-102.282000758344,1915.7129506008
"38",38,"01001","01","001","Aguascalientes",21.8302849933244,-102.282000758344,1915.7129506008
"39",39,"01001","01","001","Aguascalientes",21.8302849933244,-102.282000758344,1915.7129506008
"40",40,"01001","01","001","Aguascalientes",21.8302849933244,-102.282000758344,1915.7129506008
"41",41,"01001","01","001","Aguascalientes",21.8302849933244,-102.282000758344,1915.7129506008
"42",42,"01001","01","001","Aguascalientes",21.8302849933244,-102.282000758344,1915.7129506008
"43",43,"01001","01","001","Aguascalientes",21.8302849933244,-102.282000758344,1915.7129506008
"44",44,"01001","01","001","Aguascalientes",21.8302849933244,-102.282000758344,1915.7129506008
"45",45,"01001","01","001","Aguascalientes",21.8302849933244,-102.282000758344,1915.7129506008
"46",46,"01001","01","001","Aguascalientes",21.8302849933244,-102.282000758344,1915.7129506008
"47",47,"01001","01","001","Aguascalientes",21.8302849933244,-102.282000758344,1915.7129506008
"48",48,"01001","01","001","Aguascalientes",21.8302849933244,-102.282000758344,1915.7129506008
"49",49,"01001","01","001","Aguascalientes",21.8302849933244,-102.282000758344,1915.7129506008
"50",50,"01001","01","001","Aguascalientes",21.8302849933244,-102.282000758344,1915.7129506008
"51",51,"01001","01","001","Aguascalientes",21.8302849933244,-102.282000758344,1915.7129506008
"52",52,"01001","01","001","Aguascalientes",21.8302849933244,-102.282000758344,1915.7129506008
"53",53,"01001","01","001","Aguascalientes",21.8302849933244,-102.282000758344,1915.7129506008
"54",54,"01001","01","001","Aguascalientes",21.8302849933244,-102.282000758344,1915.7129506008
"55",55,"01001","01","001","Aguascalientes",21.8302849933244,-102.282000758344,1915.7129506008
"56",56,"01001","01","001","Aguascalientes",21.8302849933244,-102.282000758344,1915.7129506008
"57",57,"01001","01","001","Aguascalientes",21.8302849933244,-102.282000758344,1915.7129506008
"58",58,"01001","01","001","Aguascalientes",21.8302849933244,-102.282000758344,1915.7129506008
"59",59,"01001","01","001","Aguascalientes",21.8302849933244,-102.282000758344,1915.7129506008
"60",60,"01001","01","001","Aguascalientes",21.8302849933244,-102.282000758344,1915.7129506008
"61",61,"01001","01","001","Aguascalientes",21.8302849933244,-102.282000758344,1915.7129506008
"62",62,"01001","01","001","Aguascalientes",21.8302849933244,-102.282000758344,1915.7129506008
"63",63,"01001","01","001","Aguascalientes",21.8302849933244,-102.282000758344,1915.7129506008
"64",64,"01001","01","001","Aguascalientes",21.8302849933244,-102.282000758344,1915.7129506008
