folio,foliohog,id_aire,aire_tipo,aire_otro,aire_capa,aire_dia,aire_ene,aire_feb,aire_mar,aire_abr,aire_may,aire_jun,aire_jul,aire_ago,aire_sep,aire_oct,aire_nov,aire_dic,aire_hor,aire_min,aire_adqui,aire_anio
69,1,1,4, ,9,042, , , ,04,05,06, , , , , , ,06,00,1,02
69,1,2,4, ,9,042, , , ,04,05,06, , , , , , ,03,00,1,02
70,1,2,6, ,9,030, , , , ,05, , , , , , , ,02,00,1,01
70,1,1,6, ,9,090, , , ,04,05,06, , , , , , ,04,00,1,01
76,1,1,2, ,9,060, , , , ,05,06, , , , , , ,02,00,1,08
84,1,1,2, ,1,004, , , ,04,05, , , , , , , ,03,00,2,10
97,1,1,5, ,4,015, , , , , ,06, , , , , ,12,00,30,1,15
105,1,1,1, ,9,070, , , , ,05,06,07, , , , , ,05,00,1,08
111,1,1,6, ,5,090, , , ,04,05, , , , , , ,12,02,00,1,06
126,1,1,2, ,1,030, , , , ,05,06, , , , , , ,05,00,2,15
156,1,1,6, ,9,060,01, , , , , , , , , , ,12,08,00,1,01
161,1,1,2, ,9,300, ,02,03,04,05,06,07,08,09,10,11, ,06,00,1,13
168,1,1,5, ,1,015, , , , ,05,06,07, , , , , ,01,00,1,04
175,1,1,4, ,9,060, , , , ,05,06, , , , , , ,01,30,1,03
417,1,1,5, ,3,090, , , , ,05,06,07, , , , , ,02,00,1,08
490,1,1,2, ,1,030, , , , ,05, , , , , , , ,02,00,1,06
551,1,1,2, ,9,030, , , , , ,06, , , , , , ,08,00,1,05
589,1,1,4, ,1,060, , , , ,05,06, , , , , , ,08,00,1,05
698,1,1,5, ,9,030, , , , ,05, , , , , , , ,08,00,1,02
698,1,2,5, ,9,060, , , , ,05,06, , , , , , ,08,00,1,02
706,1,1,2, ,9,060, , , , ,05,06, , , , , , ,03,00,1,05
750,1,1,1, ,9,030, , , , ,05, , , , , , , ,04,00,1,01
1010,1,1,5, ,9,240, , ,03,04,05,06,07,08,09,10, , ,04,00,1,08
1011,1,1,5, ,3,180, , , , ,05,06,07,08,09,10, , ,02,00,1,01
1011,1,2,5, ,5,180, , , , ,05,06,07,08,09,10, , ,04,00,1,01
1012,1,1,5, ,2,210, , , , ,05,06,07,08,09,10,11, ,05,00,1,01
1012,1,2,5, ,4,180, , , ,04,05,06,07,08,09, , , ,01,00,1,01
