year.range,type,size.ft3,cons.year.kwh.fridg,id.year,id.capacity,id.freezer.loc,id.number.doors,id.appl
<1980,Top,<6,1738,1,1,1,2,fridg_1112
1980-1989,Top,<6,1373,2,1,1,2,fridg_2112
1990-1992,Top,<6,1047,3,1,1,2,fridg_3112
1993-2000,Top,<6,709,4,1,1,2,fridg_4112
2001-2010,Top,<6,457,5,1,1,2,fridg_5112
2011-2015,Top,<6,308,6,1,1,2,fridg_6112
2016-2017,Top,<6,274,7,1,1,2,fridg_7112
<1980,Top,6.0-10.4,1916,1,2,1,2,fridg_1212
1980-1989,Top,6.0-10.4,1513,2,2,1,2,fridg_2212
1990-1992,Top,6.0-10.4,1154,3,2,1,2,fridg_3212
1993-2000,Top,6.0-10.4,781,4,2,1,2,fridg_4212
2001-2010,Top,6.0-10.4,504,5,2,1,2,fridg_5212
2011-2015,Top,6.0-10.4,339,6,2,1,2,fridg_6212
2016-2017,Top,6.0-10.4,302,7,2,1,2,fridg_7212
<1980,Top,10.5-16.4,2112,1,3,1,2,fridg_1312
1980-1989,Top,10.5-16.4,1668,2,3,1,2,fridg_2312
1990-1992,Top,10.5-16.4,1272,3,3,1,2,fridg_3312
1993-2000,Top,10.5-16.4,861,4,3,1,2,fridg_4312
2001-2010,Top,10.5-16.4,556,5,3,1,2,fridg_5312
2011-2015,Top,10.5-16.4,374,6,3,1,2,fridg_6312
2016-2017,Top,10.5-16.4,333,7,3,1,2,fridg_7312
<1980,Top,16.5-18.9,2377,1,4,1,2,fridg_1412
1980-1989,Top,16.5-18.9,1877,2,4,1,2,fridg_2412
1990-1992,Top,16.5-18.9,1432,3,4,1,2,fridg_3412
1993-2000,Top,16.5-18.9,962,4,4,1,2,fridg_4412
2001-2010,Top,16.5-18.9,613,5,4,1,2,fridg_5412
2011-2015,Top,16.5-18.9,412,6,4,1,2,fridg_6412
2016-2017,Top,16.5-18.9,366,7,4,1,2,fridg_7412
<1980,Top,19.0-21.4,2556,1,5,1,2,fridg_1512
1980-1989,Top,19.0-21.4,2018,2,5,1,2,fridg_2512
1990-1992,Top,19.0-21.4,1539,3,5,1,2,fridg_3512
1993-2000,Top,19.0-21.4,1031,4,5,1,2,fridg_4512
2001-2010,Top,19.0-21.4,651,5,5,1,2,fridg_5512
2011-2015,Top,19.0-21.4,438,6,5,1,2,fridg_6512
2016-2017,Top,19.0-21.4,390,7,5,1,2,fridg_7512
<1980,Top,21.5-24.4,2707,1,6,1,2,fridg_1612
1980-1989,Top,21.5-24.4,2137,2,6,1,2,fridg_2612
1990-1992,Top,21.5-24.4,1630,3,6,1,2,fridg_3612
1993-2000,Top,21.5-24.4,1090,4,6,1,2,fridg_4612
2001-2010,Top,21.5-24.4,683,5,6,1,2,fridg_5612
2011-2015,Top,21.5-24.4,459,6,6,1,2,fridg_6612
2016-2017,Top,21.5-24.4,409,7,6,1,2,fridg_7612
<1980,Top,>24.5,3054,1,7,1,2,fridg_1712
1980-1989,Top,>24.5,2411,2,7,1,2,fridg_2712
1990-1992,Top,>24.5,1839,3,7,1,2,fridg_3712
1993-2000,Top,>24.5,1223,4,7,1,2,fridg_4712
2001-2010,Top,>24.5,758,5,7,1,2,fridg_5712
2011-2015,Top,>24.5,508,6,7,1,2,fridg_6712
2016-2017,Top,>24.5,452,7,7,1,2,fridg_7712
<1980,Bottom,<6,2077,1,1,2,2,fridg_1122
1980-1989,Bottom,<6,1640,2,1,2,2,fridg_2122
1990-1992,Bottom,<6,1250,3,1,2,2,fridg_3122
1993-2000,Bottom,<6,792,4,1,2,2,fridg_4122
2001-2010,Bottom,<6,596,5,1,2,2,fridg_5122
2011-2015,Bottom,<6,397,6,1,2,2,fridg_6122
2016-2017,Bottom,<6,353,7,1,2,2,fridg_7122
<1980,Bottom,6.0-10.4,2289,1,2,2,2,fridg_1222
1980-1989,Bottom,6.0-10.4,1807,2,2,2,2,fridg_2222
1990-1992,Bottom,6.0-10.4,1378,3,2,2,2,fridg_3222
1993-2000,Bottom,6.0-10.4,873,4,2,2,2,fridg_4222
2001-2010,Bottom,6.0-10.4,657,5,2,2,2,fridg_5222
2011-2015,Bottom,6.0-10.4,438,6,2,2,2,fridg_6222
2016-2017,Bottom,6.0-10.4,389,7,2,2,2,fridg_7222
<1980,Bottom,10.5-16.4,2523,1,3,2,2,fridg_1322
1980-1989,Bottom,10.5-16.4,1992,2,3,2,2,fridg_2322
1990-1992,Bottom,10.5-16.4,1519,3,3,2,2,fridg_3322
1993-2000,Bottom,10.5-16.4,962,4,3,2,2,fridg_4322
2001-2010,Bottom,10.5-16.4,724,5,3,2,2,fridg_5322
2011-2015,Bottom,10.5-16.4,483,6,3,2,2,fridg_6322
2016-2017,Bottom,10.5-16.4,429,7,3,2,2,fridg_7322
<1980,Bottom,16.5-18.9,2789,1,4,2,2,fridg_1422
1980-1989,Bottom,16.5-18.9,2202,2,4,2,2,fridg_2422
1990-1992,Bottom,16.5-18.9,1680,3,4,2,2,fridg_3422
1993-2000,Bottom,16.5-18.9,1051,4,4,2,2,fridg_4422
2001-2010,Bottom,16.5-18.9,747,5,4,2,2,fridg_5422
2011-2015,Bottom,16.5-18.9,517,6,4,2,2,fridg_6422
2016-2017,Bottom,16.5-18.9,461,7,4,2,2,fridg_7422
<1980,Bottom,19.0-21.4,2965,1,5,2,2,fridg_1522
1980-1989,Bottom,19.0-21.4,2341,2,5,2,2,fridg_2522
