folio,foliohog,huespedes,huesp_come,trabaja_do,cuid_perso,lavandero,chofer,cocinero,jardinero,tot_integ,tot_hom,tot_muj
1,1,0, , , , , , , ,1,0,1
2,1,0, , , , , , , ,4,0,4
3,1,0, , , , , , , ,4,2,2
4,1,0, , , , , , , ,1,0,1
5,1,0, , , , , , , ,2,1,1
6,1,0, , , , , , , ,6,2,4
7,1,0, , , , , , , ,2,1,1
8,1,0, , , , , , , ,1,0,1
9,1,0, , , , , , , ,4,1,3
10,1,0, , , , , , , ,2,1,1
11,1,0, , , , , , , ,5,3,2
12,1,0, , , , , , , ,2,2,0
13,1,0, , , , , , , ,6,3,3
14,1,0, , , , , , , ,4,2,2
15,1,0, , , , , , , ,1,0,1
16,1,0, , , , , , , ,1,1,0
17,1,0, , , , , , , ,3,3,0
18,1,0, , , , , , , ,5,1,4
19,1,0, , , , , , , ,4,3,1
20,1,0, , , , , , , ,2,1,1
21,1,0, , , , , , , ,4,1,3
22,1,0, , , , , , , ,1,0,1
23,1,0, , , , , , , ,3,1,2
24,1,0, , , , , , , ,1,0,1
25,1,0, , , , , , , ,3,2,1
26,1,0, , , , , , , ,2,1,1
27,1,0, , , , , , , ,3,1,2
28,1,0, , , , , , , ,3,1,2
29,1,0, , , , , , , ,3,2,1
30,1,0, , , , , , , ,3,2,1
31,1,0, , , , , , , ,1,0,1
32,1,0, , , , , , , ,3,1,2
33,1,0, ,1,2,2,2,2,2,1,1,0
34,1,0, , , , , , , ,5,2,3
35,1,0, , , , , , , ,4,1,3
36,1,0, , , , , , , ,1,1,0
37,1,0, , , , , , , ,4,3,1
38,1,0, , , , , , , ,2,0,2
39,1,0, , , , , , , ,3,2,1
40,1,0, , , , , , , ,3,2,1
41,1,0, , , , , , , ,3,2,1
42,1,0, , , , , , , ,1,0,1
43,1,0, , , , , , , ,6,3,3
44,1,0, , , , , , , ,3,1,2
45,1,0, , , , , , , ,8,2,6
46,1,0, , , , , , , ,1,1,0
47,1,0, , , , , , , ,2,1,1
48,1,0, , , , , , , ,1,0,1
49,1,0, , , , , , , ,4,2,2
50,1,0, , , , , , , ,5,1,4
51,1,0, , , , , , , ,5,4,1
52,1,0, ,1,2,2,2,2,2,2,1,1
53,1,0, , , , , , , ,1,0,1
54,1,0, ,1,2,2,2,2,2,4,2,2
55,1,0, , , , , , , ,2,1,1
56,1,0, , , , , , , ,2,0,2
57,1,0, ,1,2,2,2,2,2,1,0,1
58,1,0, , , , , , , ,4,1,3
59,1,0, , , , , , , ,4,1,3
60,1,0, ,1,2,2,2,2,2,3,1,2
61,1,0, , , , , , , ,4,2,2
62,1,0, , , , , , , ,5,3,2
63,1,0, ,1,2,2,2,2,2,3,2,1
64,1,0, , , , , , , ,4,3,1
65,1,0, , , , , , , ,4,2,2
66,1,0, , , , , , , ,4,3,1
67,1,0, , , , , , , ,2,1,1
68,1,0, , , , , , , ,4,3,1
69,1,0, ,1,2,2,2,2,2,2,1,1
70,1,0, ,1,2,2,2,2,2,5,2,3
71,1,0, , , , , , , ,2,1,1
72,1,0, , , , , , , ,5,3,2
73,1,0, , , , , , , ,4,1,3
74,1,0, , , , , , , ,3,2,1
75,1,0, , , , , , , ,3,1,2
76,1,0, , , , , , , ,3,1,2
77,1,0, ,1,2,2,2,2,2,3,3,0
78,1,0, , , , , , , ,2,2,0
79,1,0, , , , , , , ,2,1,1
80,1,0, , , , , , , ,3,2,1
81,1,0, , , , , , , ,4,2,2
82,1,0, ,1,2,2,2,2,2,2,1,1
83,1,0, , , , , , , ,4,2,2
84,1,0, , , , , , , ,2,1,1
85,1,0, , , , , , , ,4,2,2
86,1,0, , , , , , , ,1,1,0
87,1,0, , , , , , , ,2,1,1
88,1,0, , , , , , , ,4,1,3
89,1,0, , , , , , , ,8,3,5
90,1,0, , , , , , , ,1,0,1
91,1,0, , , , , , , ,4,2,2
92,1,0, , , , , , , ,1,0,1
93,1,0, , , , , , , ,6,1,5
94,1,0, , , , , , , ,1,1,0
95,1,0, , , , , , , ,4,2,2
96,1,0, , , , , , , ,6,3,3
97,1,0, ,2,2,2,2,2,1,3,1,2
98,1,0, , , , , , , ,4,3,1
99,1,0, ,1,2,2,2,2,2,3,1,2
100,1,0, , , , , , , ,3,2,1
101,1,0, , , , , , , ,4,1,3
102,1,0, , , , , , , ,2,1,1
103,1,0, , , , , , , ,6,2,4
104,1,0, , , , , , , ,1,0,1
105,1,0, , , , , , , ,4,2,2
106,1,0, , , , , , , ,2,0,2
107,1,0, , , , , , , ,5,3,2
108,1,0, ,1,2,2,2,2,2,4,1,3
109,1,0, , , , , , , ,2,0,2
110,1,0, , , , , , , ,3,1,2
111,1,0, ,1,2,2,2,2,2,2,2,0
112,1,0, ,1,2,2,2,2,2,2,1,1
113,1,0, , , , , , , ,4,3,1
114,1,0, , , , , , , ,2,0,2
115,1,0, , , , , , , ,4,0,4
116,1,0, , , , , , , ,5,3,2
117,1,0, , , , , , , ,2,1,1
118,1,0, , , , , , , ,4,3,1
119,1,0, , , , , , , ,5,3,2
120,1,0, , , , , , , ,6,4,2
121,1,0, , , , , , , ,3,2,1
122,1,0, , , , , , , ,2,1,1
123,1,0, , , , , , , ,11,4,7
124,1,0, , , , , , , ,3,0,3
125,1,0, , , , , , , ,6,5,1
126,1,0, , , , , , , ,2,2,0
127,1,0, , , , , , , ,5,0,5
128,1,0, , , , , , , ,4,2,2
129,1,0, , , , , , , ,3,2,1
130,1,0, , , , , , , ,3,2,1
131,1,0, , , , , , , ,4,2,2
132,1,0, , , , , , , ,2,1,1
133,1,0, , , , , , , ,6,4,2
134,1,0, , , , , , , ,4,0,4
135,1,0, , , , , , , ,2,1,1
136,1,0, , , , , , , ,2,1,1
137,1,0, , , , , , , ,3,1,2
138,1,0, , , , , , , ,1,0,1
139,1,0, , , , , , , ,3,1,2
140,1,0, , , , , , , ,4,2,2
141,1,0, , , , , , , ,9,4,5
142,1,0, , , , , , , ,2,1,1
143,1,0, , , , , , , ,4,2,2
144,1,0, , , , , , , ,8,4,4
145,1,0, , , , , , , ,4,1,3
146,1,0, , , , , , , ,5,3,2
147,1,0, , , , , , , ,4,1,3
148,1,0, , , , , , , ,3,1,2
149,1,0, , , , , , , ,4,2,2
150,1,0, , , , , , , ,2,1,1
151,1,0, , , , , , , ,2,1,1
152,1,0, , , , , , , ,8,6,2
153,1,0, , , , , , , ,5,2,3
154,1,0, , , , , , , ,2,0,2
155,1,0, , , , , , , ,1,1,0
156,1,0, , , , , , , ,6,5,1
157,1,0, , , , , , , ,4,1,3
158,1,0, , , , , , , ,2,1,1
159,1,0, , , , , , , ,4,2,2
160,1,0, , , , , , , ,3,1,2
161,1,0, , , , , , , ,4,3,1
162,1,0, , , , , , , ,3,2,1
163,1,0, , , , , , , ,3,2,1
164,1,0, , , , , , , ,6,4,2
165,1,0, , , , , , , ,4,2,2
166,1,0, , , , , , , ,3,1,2
167,1,0, , , , , , , ,5,2,3
168,1,0, ,1,2,2,2,2,2,1,1,0
169,1,0, , , , , , , ,4,3,1
170,1,0, , , , , , , ,4,2,2
171,1,0, , , , , , , ,3,2,1
172,1,0, , , , , , , ,5,3,2
173,1,0, ,1,2,2,2,2,2,4,2,2
174,1,0, ,1,2,2,2,2,2,5,4,1
175,1,0, ,1,2,2,2,2,2,4,2,2
176,1,0, ,1,2,2,2,2,2,7,5,2
177,1,0, , , , , , , ,5,2,3
178,1,0, ,1,2,2,2,2,2,3,2,1
179,1,0, ,1,2,2,2,2,2,4,2,2
180,1,0, , , , , , , ,4,2,2
181,1,0, ,1,2,2,2,2,2,3,0,3
182,1,0, , , , , , , ,3,1,2
183,1,0, , , , , , , ,2,1,1
184,1,0, , , , , , , ,4,2,2
185,1,0, , , , , , , ,4,2,2
186,1,0, , , , , , , ,2,2,0
187,1,0, , , , , , , ,4,3,1
188,1,0, , , , , , , ,1,0,1
189,1,0, , , , , , , ,3,2,1
190,1,0, , , , , , , ,1,0,1
191,1,0, , , , , , , ,5,3,2
192,1,0, , , , , , , ,2,1,1
193,1,0, , , , , , , ,3,2,1
194,1,0, , , , , , , ,4,2,2
195,1,0, , , , , , , ,1,0,1
196,1,0, , , , , , , ,6,2,4
197,1,0, , , , , , , ,1,1,0
198,1,0, , , , , , , ,4,2,2
