ageem.id,state,municipality,tax.dap.min.range,tax.dap.max.range,tax.dap.avg.range,tax.dap.method,tax.dap.percent,tax.dap.value
1001,Aguascalientes,Aguascalientes,,,,Percent,0.1,
1002,Aguascalientes,Asientos,,,,Percent,0.1,
1003,Aguascalientes,Calvillo,,,,Percent,0.1,
1004,Aguascalientes,Cosio,21.5,43.42,32.46,Range,,32.46
1005,Aguascalientes,Jesus Maria,,,,Percent,0.1,
1006,Aguascalientes,Pabellon de Arteaga,,,,Percent,0.1,
1007,Aguascalientes,Rincon de Romos,,,,Percent,0.1,
1008,Aguascalientes,San Jose de Gracia,,,,Percent,0.1,
1009,Aguascalientes,Tepezala,,,,Percent,0.1,
1010,Aguascalientes,El Llano,,,,Percent,0.1,
1011,Aguascalientes,San Francisco de los Romo,,,,Percent,0.1,
2001,Baja California,Ensenada,,,,,,
2002,Baja California,Mexicali,,,,Percent,0.05,
2003,Baja California,Tecate,,,,Percent,0.05,
2004,Baja California,Tijuana,0.035,0.058,0.0465,Range.percent,0.0465,
2005,Baja California,Playas de Rosarito,,,,Percent,0.05,
3001,Baja California Sur,Comondu,,,,,,
3002,Baja California Sur,Mulege,,,,,,
3003,Baja California Sur,La Paz,,,,,,
3008,Baja California Sur,Los Cabos,,,,,,
3009,Baja California Sur,Loreto,,,,,,
4001,Campeche,Calkini,,,,Percent,0.06,
4002,Campeche,Campeche,,,,Percent,0.06,
4003,Campeche,Carmen,,,,Percent,0.06,
4004,Campeche,Champoton,,,,Percent,0.06,
4005,Campeche,Hecelchakan,,,,Percent,0.06,
4006,Campeche,Hopelchen,,,,Percent,0.06,
4007,Campeche,Palizada,,,,Percent,0.06,
4008,Campeche,Tenabo,,,,Percent,0.06,
4009,Campeche,Escarcega,,,,Percent,0.06,
4010,Campeche,Calakmul,,,,Percent,0.06,
4011,Campeche,Candelaria,,,,Percent,0.06,
5001,Coahuila de Zaragoza,Abasolo,,,,,,
5002,Coahuila de Zaragoza,Acuna,0.02,0.025,0.0225,Range.percent,0.0225,
5003,Coahuila de Zaragoza,Allende,,,,Fix.range,0.02,12
5004,Coahuila de Zaragoza,Arteaga,,,,,,
5005,Coahuila de Zaragoza,Candela,,,,,,
5006,Coahuila de Zaragoza,Castanos,1,14,7.5,Range,,7.5
5007,Coahuila de Zaragoza,Cuatro Cienegas,,,,,,
5008,Coahuila de Zaragoza,Escobedo,,,,,,
5009,Coahuila de Zaragoza,Francisco I. Madero,2,16,9,Range,,9
5010,Coahuila de Zaragoza,Frontera,2,44,23,Range,,23
5011,Coahuila de Zaragoza,General Cepeda,,,,,,
5012,Coahuila de Zaragoza,Guerrero,,,,,,
5013,Coahuila de Zaragoza,Hidalgo,,,,,,
5014,Coahuila de Zaragoza,Jimenez,,,,,,
5015,Coahuila de Zaragoza,Juarez,,,,,,
5016,Coahuila de Zaragoza,Lamadrid,,,,,,
5017,Coahuila de Zaragoza,Matamoros,2,16,9,Range,,9
5018,Coahuila de Zaragoza,Monclova,6,140,73,Range,,73
5019,Coahuila de Zaragoza,Morelos,2,16,9,Range,,9
5020,Coahuila de Zaragoza,Muzquiz,8,225,116.5,Range,,116.5
5021,Coahuila de Zaragoza,Nadadores,,,,,,
5022,Coahuila de Zaragoza,Nava,2,16,9,Range,,9
5023,Coahuila de Zaragoza,Ocampo,2,16,9,Range,,9
5024,Coahuila de Zaragoza,Parras,2,16,9,Range,,9
5025,Coahuila de Zaragoza,Piedras Negras,,,,,,
5026,Coahuila de Zaragoza,Progreso,,,,,,
5027,Coahuila de Zaragoza,Ramos Arizpe,,,,,,
5028,Coahuila de Zaragoza,Sabinas,11,90,50.5,Range,,50.5
5029,Coahuila de Zaragoza,Sacramento,,,,,,
5030,Coahuila de Zaragoza,Saltillo,,,,,,
5031,Coahuila de Zaragoza,San Buenaventura,2,16,9,Range,,9
5032,Coahuila de Zaragoza,San Juan de Sabinas,4,512,258,Range,,258
5033,Coahuila de Zaragoza,San Pedro,2,16,9,Range,,9
5034,Coahuila de Zaragoza,Sierra Mojada,2,16,9,Range,,9
5035,Coahuila de Zaragoza,Torreon,2,16,9,Range,,9
5036,Coahuila de Zaragoza,Viesca,2,16,9,Range,,9
5037,Coahuila de Zaragoza,Villa Union,,,,,,
5038,Coahuila de Zaragoza,Zaragoza,3.5,14,8.75,Range,,8.75
6001,Colima,Armeria,,,,Percent,0.05,
6002,Colima,Colima,,,,Percent,0.05,
6003,Colima,Comala,,,,Percent,0.05,
6004,Colima,Coquimatlan,,,,Percent,0.05,
6005,Colima,Cuauhtemoc,,,,Percent,0.05,
6006,Colima,Ixtlahuacan,,,,Percent,0.05,
6007,Colima,Manzanillo,,,,Percent,0.05,
6008,Colima,Minatitlan,,,,Percent,0.05,
6009,Colima,Tecoman,,,,Percent,0.05,
6010,Colima,Villa de Alvarez,,,,Percent,0.05,
7001,Chiapas,Acacoyagua,,,,,,
7002,Chiapas,Acala,,,,,,
7003,Chiapas,Acapetahua,,,,,,
7004,Chiapas,Altamirano,,,,,,
7005,Chiapas,Amatan,,,,,,
7006,Chiapas,Amatenango de la Frontera,,,,,,
7007,Chiapas,Amatenango del Valle,,,,,,
7008,Chiapas,Angel Albino Corzo,,,,,,
7009,Chiapas,Arriaga,,,,,,
7010,Chiapas,Bejucal de Ocampo,,,,,,
7011,Chiapas,Bella Vista,,,,,,
7012,Chiapas,Berriozabal,,,,,,
7013,Chiapas,Bochil,,,,,,
7014,Chiapas,El Bosque,,,,,,
7015,Chiapas,Cacahoatan,,,,,,
7016,Chiapas,Catazaja,,,,,,
7017,Chiapas,Cintalapa,,,,,,
7018,Chiapas,Coapilla,,,,,,
7019,Chiapas,Comitan de Dominguez,,,,,,
7020,Chiapas,La Concordia,,,,,,
7021,Chiapas,Copainala,,,,,,
7022,Chiapas,Chalchihuitan,,,,,,
7023,Chiapas,Chamula,,,,,,
7024,Chiapas,Chanal,,,,,,
7025,Chiapas,Chapultenango,,,,,,
7026,Chiapas,Chenalho,,,,,,
7027,Chiapas,Chiapa de Corzo,,,,,,
7028,Chiapas,Chiapilla,,,,,,
7029,Chiapas,Chicoasen,,,,,,
7030,Chiapas,Chicomuselo,,,,,,
7031,Chiapas,Chilon,,,,,,
7032,Chiapas,Escuintla,,,,,,
7033,Chiapas,Francisco Leon,,,,,,
7034,Chiapas,Frontera Comalapa,,,,,,
7035,Chiapas,Frontera Hidalgo,,,,,,
7036,Chiapas,La Grandeza,,,,,,
7037,Chiapas,Huehuetan,,,,,,
7038,Chiapas,Huixtan,,,,,,
7039,Chiapas,Huitiupan,,,,,,
