state_id,munic_id,agem,state,region.tariff,region.tariff.f,tariff,munic,summer
1,1,1001,Aguascalientes,Sur,8,1,aguascalientes,0
1,2,1002,Aguascalientes,Sur,8,1,asientos,0
1,3,1003,Aguascalientes,Sur,8,1,calvillo,0
1,4,1004,Aguascalientes,Sur,8,1,cosio,0
1,5,1005,Aguascalientes,Sur,8,1,jesus maria,0
1,6,1006,Aguascalientes,Sur,8,1,pabellon de arteaga,0
1,7,1007,Aguascalientes,Sur,8,1,rincon de romos,0
1,9,1009,Aguascalientes,Sur,8,1,tepezala,0
1,9,1008,Aguascalientes,Sur,8,1,san jose de gracia,0
1,10,1010,Aguascalientes,Sur,8,1,el llano,0
1,11,1011,Aguascalientes,Sur,8,1,San Francisco de los Romo,0
2,1,2001,Baja California,Baja California,1,1,ensenada,0
2,2,2002,Baja California,Baja California,1,1F,mexicali,1
2,3,2003,Baja California,Baja California,1,1A,tecate,1
2,4,2004,Baja California,Baja California,1,1,tijuana,0
2,5,2005,Baja California,Baja California,1,1,playas de rosarito,0
3,1,3001,Baja California Sur,Baja California Sur,2,1C,comondu,1
3,2,3002,Baja California Sur,Baja California Sur,2,1D,mulege,1
3,3,3003,Baja California Sur,Baja California Sur,2,1D,la paz,1
3,8,3008,Baja California Sur,Baja California Sur,2,1C,los cabos,1
3,9,3009,Baja California Sur,Baja California Sur,2,1E,loreto,1
4,1,4001,Campeche,Peninsular,7,1C,calkini,1
4,2,4002,Campeche,Peninsular,7,1C,campeche,1
4,3,4003,Campeche,Peninsular,7,1C,carmen,1
4,4,4004,Campeche,Peninsular,7,1C,champoton,1
4,5,4005,Campeche,Peninsular,7,1C,hecelchakan,1
4,6,4006,Campeche,Peninsular,7,1C,hopelchen,1
4,8,4008,Campeche,Peninsular,7,1C,tenabo,1
4,9,4009,Campeche,Peninsular,7,1C,escarcega,1
4,10,4010,Campeche,Peninsular,7,1C,calakmul,1
4,11,4011,Campeche,Peninsular,7,1C,candelaria,1
5,2,5002,Coahuila de Zaragoza,Noreste,4,1E,acuna,1
5,6,5006,Coahuila de Zaragoza,Peninsular,7,1C,Castaños,1
5,7,5007,Coahuila de Zaragoza,Noreste,4,1B,cuatro cienegas,1
5,9,5009,Coahuila de Zaragoza,Norte,6,1C,francisco i. madero,1
5,10,5010,Coahuila de Zaragoza,Noreste,4,1D,frontera,1
5,13,5013,Coahuila de Zaragoza,Noreste,4,1E,hidalgo,1
5,14,5014,Coahuila de Zaragoza,Noreste,4,1E,jimenez,1
5,17,5017,Coahuila de Zaragoza,Norte,6,1C,matamoros,1
5,18,5018,Coahuila de Zaragoza,Noreste,4,1D,monclova,1
5,20,5020,Coahuila de Zaragoza,Noreste,4,1C,muzquiz,1
5,22,5022,Coahuila de Zaragoza,Noreste,4,1E,nava,1
5,23,5023,Coahuila de Zaragoza,Norte,6,1B,ocampo,1
5,24,5024,Coahuila de Zaragoza,Norte,6,1A,parras,1
5,25,5025,Coahuila de Zaragoza,Noreste,4,1E,piedras negras,1
5,27,5027,Coahuila de Zaragoza,Noreste,4,1,ramos arizpe,0
5,28,5028,Coahuila de Zaragoza,Noreste,4,1E,sabinas,1
5,30,5030,Coahuila de Zaragoza,Noreste,4,1,saltillo,0
5,32,5032,Coahuila de Zaragoza,Noreste,4,1E,san juan de sabinas,1
5,35,5035,Coahuila de Zaragoza,Norte,6,1C,torreon,1
5,36,5036,Coahuila de Zaragoza,Norte,6,1D,viesca,1
5,37,5037,Coahuila de Zaragoza,Noreste,4,1C,villa union,1
6,1,6001,Colima,Sur,8,1B,armeria,1
6,2,6002,Colima,Sur,8,1B,colima,1
6,3,6003,Colima,Sur,8,1A,comala,1
6,4,6004,Colima,Sur,8,1B,coquimatlan,1
6,6,6006,Colima,Sur,8,1B,ixtlahuacan,1
6,7,6007,Colima,Sur,8,1B,manzanillo,1
6,9,6009,Colima,Sur,8,1B,tecoman,1
6,10,6010,Colima,Sur,8,1B,villa de alvarez,1
7,1,7001,Chiapas,Sur,8,1B,acacoyagua,1
7,2,7002,Chiapas,Sur,8,1B,acala,1
7,6,7006,Chiapas,Sur,8,1,amatenango de la frontera,0
7,9,7009,Chiapas,Sur,8,1C,arriaga,1
7,12,7012,Chiapas,Sur,8,1,berriozabal,0
7,14,7014,Chiapas,Sur,8,1,el bosque,0
7,17,7017,Chiapas,Sur,8,1A,cintalapa,1
7,19,7019,Chiapas,Sur,8,1,comitan de dominguez,0
7,20,7020,Chiapas,Sur,8,1A,la concordia,1
7,21,7021,Chiapas,Sur,8,1B,copainala,1
7,22,7022,Chiapas,Sur,8,1,chalchihuitan,0
7,23,7023,Chiapas,Sur,8,1,chamula,0
