tariff,year,summer,tariff.block,tariff.block.name,min.cons.kwh,max.cons.kwh,cost.kwh,fixed.min.cons,min.bill,max.bill,min.bill.wtax,max.bill.wtax,cost.range.min,cost.range
1,2017,Yes,1,basic,0,75,0.793,25,19.825,59.475,24.7416,74.2248,0,59.475
1,2017,No,1,basic,0,75,0.793,25,19.825,59.475,24.7416,74.2248,0,59.475
1,2017,Yes,2,intermediate,75,140,0.956,25,71.7,133.84,89.4816,167.03232,59.475,62.14
1,2017,No,2,intermediate,75,140,0.956,25,71.7,133.84,89.4816,167.03232,59.475,62.14
1,2017,Yes,3,extra,140,3000,2.802,25,392.28,8406,489.56544,10490.688,121.615,8013.72
1,2017,No,3,extra,140,3000,2.802,25,392.28,8406,489.56544,10490.688,121.615,8013.72
1A,2017,No,1,basic,0,75,0.793,25,19.825,59.475,24.7416,74.2248,0,59.475
1A,2017,No,2,intermediate,75,150,0.956,25,71.7,143.4,89.4816,178.9632,59.475,71.7
1A,2017,No,3,extra,150,3600,2.802,25,420.3,10087.2,524.5344,12588.8256,131.175,9666.9
1A,2017,Yes,1,basic,0,100,0.697,25,17.425,69.7,21.7464,86.9856,0,69.7
1A,2017,Yes,2,intermediate,100,150,0.822,25,82.2,123.3,102.5856,153.8784,69.7,41.1
1A,2017,Yes,3,extra,150,3600,2.802,25,420.3,10087.2,524.5344,12588.8256,110.8,9666.9
1B,2017,No,1,basic,0,75,0.793,25,19.825,59.475,24.7416,74.2248,0,59.475
1B,2017,No,2,intermediate,75,150,0.956,25,71.7,143.4,89.4816,178.9632,59.475,71.7
1B,2017,No,3,extra,150,4800,2.802,25,420.3,13449.6,524.5344,16785.1008,131.175,13029.3
1B,2017,Yes,1,basic,0,125,0.697,25,17.425,87.125,21.7464,108.732,0,87.125
1B,2017,Yes,2,intermediate,125,225,0.822,25,102.75,184.95,128.232,230.8176,87.125,82.2
1B,2017,Yes,3,extra,225,4800,2.802,25,630.45,13449.6,786.8016,16785.1008,169.325,12819.15
1C,2017,No,1,basic,0,75,0.793,25,19.825,59.475,24.7416,74.2248,0,59.475
1C,2017,No,2,intermediate,75,175,0.956,25,71.7,167.3,89.4816,208.7904,59.475,95.6
1C,2017,No,3,extra,175,10200,2.802,25,490.35,28580.4,611.9568,35668.3392,155.075,28090.05
1C,2017,Yes,1,basic,0,150,0.697,25,17.425,104.55,21.7464,130.4784,0,104.55
1C,2017,Yes,2,intermediate-low,150,300,0.822,25,123.3,246.6,153.8784,307.7568,104.55,123.3
1C,2017,Yes,3,intermediate-high,300,450,1.05,25,315,472.5,393.12,589.68,227.85,157.5
1C,2017,Yes,4,extra,450,10200,2.802,25,1260.9,28580.4,1573.6032,35668.3392,385.35,27319.5
1D,2017,No,1,basic,0,75,0.793,25,19.825,59.475,24.7416,74.2248,0,59.475
1D,2017,No,2,intermediate,75,200,0.956,25,71.7,191.2,89.4816,238.6176,59.475,119.5
1D,2017,No,3,extra,200,12000,2.802,25,560.4,33624,699.3792,41962.752,178.975,33063.6
1D,2017,Yes,1,basic,0,175,0.697,25,17.425,121.975,21.7464,152.2248,0,121.975
1D,2017,Yes,2,intermediate-low,175,400,0.822,25,143.85,328.8,179.5248,410.3424,121.975,184.95
1D,2017,Yes,3,intermediate-high,400,600,1.05,25,420,630,524.16,786.24,306.925,210
1D,2017,Yes,4,extra,600,12000,2.802,25,1681.2,33624,2098.1376,41962.752,516.925,31942.8
1E,2017,No,1,basic,0,75,0.793,25,19.825,59.475,24.7416,74.2248,0,59.475
1E,2017,No,2,intermediate,75,200,0.956,25,71.7,191.2,89.4816,238.6176,59.475,119.5
1E,2017,No,3,extra,200,24000,2.802,25,560.4,67248,699.3792,83925.504,178.975,66687.6
1E,2017,Yes,1,basic,0,300,0.583,25,14.575,174.9,18.1896,218.2752,0,174.9
1E,2017,Yes,2,intermediate-low,300,750,0.726,25,217.8,544.5,271.8144,679.536,174.9,326.7
1E,2017,Yes,3,intermediate-high,750,900,0.948,25,711,853.2,887.328,1064.7936,501.6,142.2
1E,2017,Yes,4,extra,900,24000,2.802,25,2521.8,67248,3147.2064,83925.504,643.8,64726.2
1F,2017,No,1,basic,0,75,0.793,25,19.825,59.475,24.7416,74.2248,0,59.475
1F,2017,No,2,intermediate,75,200,0.956,25,71.7,191.2,89.4816,238.6176,59.475,119.5
1F,2017,No,3,extra,200,30000,2.802,25,560.4,84060,699.3792,104906.88,178.975,83499.6
1F,2017,Yes,1,basic,0,300,0.583,25,14.575,174.9,18.1896,218.2752,0,174.9
1F,2017,Yes,2,intermediate-low,300,1200,0.726,25,217.8,871.2,271.8144,1087.2576,174.9,653.4
1F,2017,Yes,3,intermediate-high,1200,2500,1.768,25,2121.6,4420,2647.7568,5516.16,828.3,2298.4
1F,2017,Yes,4,extra,2500,30000,2.802,25,7005,84060,8742.24,104906.88,3126.7,77055
