folio,tot_hog,tam_loc,est_socio,est_dis,upm,factor_sem,region,entidad
1,1,1,3,006,00001,373,2,01
2,1,1,3,006,00001,373,2,01
3,1,1,3,006,00001,373,2,01
4,1,1,3,006,00001,373,2,01
5,1,1,3,006,00001,373,2,01
6,1,1,3,006,00002,387,2,01
7,1,1,3,006,00002,387,2,01
8,1,1,3,006,00002,387,2,01
9,1,1,3,006,00002,387,2,01
10,1,1,3,006,00003,372,2,01
11,1,1,3,006,00003,372,2,01
12,1,1,3,006,00003,372,2,01
13,1,1,3,006,00003,372,2,01
14,1,1,3,006,00003,372,2,01
15,1,1,2,005,00004,318,2,01
16,1,1,2,005,00004,318,2,01
17,1,1,2,005,00004,318,2,01
18,1,1,2,005,00004,318,2,01
19,1,1,2,005,00004,318,2,01
20,1,1,3,006,00005,447,2,01
21,1,1,3,006,00005,447,2,01
22,1,1,3,006,00005,447,2,01
23,1,1,3,006,00005,447,2,01
24,1,1,3,006,00005,447,2,01
25,1,1,3,006,00006,314,2,01
26,1,1,3,006,00006,314,2,01
27,1,1,3,006,00006,314,2,01
28,1,1,3,006,00006,314,2,01
29,1,1,3,006,00006,314,2,01
30,1,1,3,006,00007,357,2,01
31,1,1,3,006,00007,357,2,01
32,1,1,3,006,00007,357,2,01
33,1,1,3,006,00007,357,2,01
34,1,1,3,006,00007,357,2,01
35,1,1,3,006,00008,342,2,01
36,1,1,3,006,00008,342,2,01
37,1,1,3,006,00008,342,2,01
38,1,1,3,006,00008,342,2,01
39,1,1,3,006,00009,366,2,01
40,1,1,3,006,00009,366,2,01
41,1,1,3,006,00009,366,2,01
42,1,1,3,006,00009,366,2,01
43,1,1,3,006,00009,366,2,01
44,1,1,3,006,00010,366,2,01
45,1,1,3,006,00010,366,2,01
46,1,1,3,006,00010,366,2,01
47,1,1,3,006,00010,366,2,01
48,1,1,3,006,00010,366,2,01
49,1,1,3,006,00011,311,2,01
50,1,1,3,006,00011,311,2,01
51,1,1,3,006,00011,311,2,01
52,1,1,3,006,00012,352,2,01
53,1,1,3,006,00012,352,2,01
54,1,1,3,006,00012,352,2,01
55,1,1,3,006,00012,352,2,01
56,1,1,3,006,00012,352,2,01
57,1,1,4,007,00013,401,2,01
58,1,1,4,007,00013,401,2,01
59,1,1,4,007,00013,401,2,01
60,1,1,4,007,00013,401,2,01
61,1,1,4,007,00013,401,2,01
62,1,1,3,006,00014,390,2,01
63,1,1,3,006,00014,390,2,01
64,1,1,3,006,00014,390,2,01
65,1,1,3,006,00014,390,2,01
66,1,1,3,006,00014,390,2,01
67,1,1,3,006,00015,342,2,01
68,1,1,3,006,00015,342,2,01
69,1,1,3,006,00015,342,2,01
70,1,1,3,006,00015,342,2,01
71,1,1,3,006,00015,342,2,01
72,1,1,2,005,00016,301,2,01
73,1,1,2,005,00016,301,2,01
74,1,1,2,005,00016,301,2,01
75,1,1,2,005,00016,301,2,01
76,1,1,2,005,00016,301,2,01
77,1,1,4,007,00017,390,2,01
78,1,1,4,007,00017,390,2,01
79,1,1,4,007,00017,390,2,01
80,1,1,4,007,00017,390,2,01
81,1,1,3,006,00018,341,2,01
82,1,1,3,006,00018,341,2,01
83,1,1,3,006,00018,341,2,01
84,1,1,3,006,00018,341,2,01
85,1,1,2,005,00019,297,2,01
86,1,1,2,005,00019,297,2,01
87,1,1,2,005,00019,297,2,01
88,1,1,2,005,00019,297,2,01
89,1,1,2,005,00019,297,2,01
90,1,1,3,006,00020,265,2,01
91,1,1,3,006,00020,265,2,01
92,1,1,3,006,00020,265,2,01
93,1,1,3,006,00020,265,2,01
94,1,1,3,006,00020,265,2,01
95,1,1,4,007,00021,402,2,01
96,1,1,4,007,00021,402,2,01
97,1,1,4,007,00021,402,2,01
98,1,1,4,007,00021,402,2,01
99,1,1,4,007,00021,402,2,01
100,1,1,3,006,00022,368,2,01
101,1,1,3,006,00022,368,2,01
102,1,1,3,006,00022,368,2,01
103,1,1,3,006,00022,368,2,01
104,1,1,3,006,00022,368,2,01
105,1,1,3,006,00023,350,2,01
106,1,1,3,006,00023,350,2,01
107,1,1,3,006,00023,350,2,01
108,1,1,3,006,00023,350,2,01
109,1,1,3,006,00024,406,2,01
110,1,1,3,006,00024,406,2,01
111,1,1,3,006,00024,406,2,01
112,1,1,3,006,00024,406,2,01
113,1,1,3,006,00024,406,2,01
114,1,1,3,006,00025,381,2,01
115,1,1,3,006,00025,381,2,01
116,1,1,3,006,00025,381,2,01
117,1,1,3,006,00025,381,2,01
118,1,1,3,006,00025,381,2,01
119,1,1,3,006,00026,358,2,01
120,1,1,3,006,00026,358,2,01
121,1,1,3,006,00026,358,2,01
122,1,1,3,006,00026,358,2,01
123,1,1,3,006,00026,358,2,01
124,1,1,2,005,00027,401,2,01
125,1,1,2,005,00027,401,2,01
126,1,1,2,005,00027,401,2,01
127,1,1,4,007,00028,345,2,01
128,1,1,4,007,00028,345,2,01
129,1,1,4,007,00028,345,2,01
130,1,1,4,007,00028,345,2,01
131,1,1,3,006,00029,335,2,01
132,1,1,3,006,00029,335,2,01
133,1,1,3,006,00029,335,2,01
134,1,1,3,006,00030,360,2,01
135,1,1,3,006,00030,360,2,01
136,1,1,3,006,00030,360,2,01
137,1,1,3,006,00030,360,2,01
138,1,1,3,006,00030,360,2,01
139,1,1,2,005,00031,362,2,01
140,1,1,2,005,00031,362,2,01
